Histórico de cotações - BBAS3;
Date;value
18/11/2022;34,6
17/11/2022;34,21
16/11/2022;35,5
14/11/2022;36,13
11/11/2022;35,93
10/11/2022;36,32
09/11/2022;37,67
08/11/2022;37,89
07/11/2022;38,08
04/11/2022;39,37
03/11/2022;38,35
01/11/2022;37,6
31/10/2022;37,04
28/10/2022;38,58
27/10/2022;38,74
26/10/2022;38,27
25/10/2022;39,78
24/10/2022;41,47
21/10/2022;44,3
20/10/2022;43,17
19/10/2022;41,41
18/10/2022;40,65
17/10/2022;39,48
14/10/2022;39,38
13/10/2022;39,21
11/10/2022;39,38
10/10/2022;40,47
07/10/2022;40,56
06/10/2022;40,46
05/10/2022;39,81
04/10/2022;40,02
03/10/2022;41,4
30/09/2022;38,51
29/09/2022;38,17
28/09/2022;38,62
27/09/2022;38,76
26/09/2022;39,2
23/09/2022;40,52
22/09/2022;40,73
21/09/2022;40,63
20/09/2022;40,62
19/09/2022;39,92
16/09/2022;39,14
15/09/2022;40,04
14/09/2022;40,42
13/09/2022;40,28
12/09/2022;41,41
09/09/2022;40,61
08/09/2022;39,49
06/09/2022;39,64
05/09/2022;41,74
02/09/2022;42,66
01/09/2022;42,03
31/08/2022;41,93
31/08/2022;41,93
31/08/2022;41,93
31/08/2022;41,93
30/08/2022;42,32
29/08/2022;42,42
26/08/2022;41,46
25/08/2022;41,43
24/08/2022;41,1
23/08/2022;41,48
22/08/2022;41,13
19/08/2022;40,8
18/08/2022;42,09
17/08/2022;42,77
16/08/2022;42,99
15/08/2022;43,14
12/08/2022;43,42
11/08/2022;41,91
10/08/2022;39,89
09/08/2022;39,4
08/08/2022;38,78
05/08/2022;37,55
04/08/2022;36,98
03/08/2022;36,33
02/08/2022;36,12
01/08/2022;35,77
29/07/2022;36,17
28/07/2022;36
27/07/2022;35,43
26/07/2022;35,47
25/07/2022;35,14
22/07/2022;34,69
21/07/2022;34,63
20/07/2022;34,7
19/07/2022;34,31
18/07/2022;33,81
15/07/2022;33,15
14/07/2022;32,31
13/07/2022;32,74
12/07/2022;32,92
11/07/2022;33
08/07/2022;33,41
07/07/2022;33,15
06/07/2022;32,59
05/07/2022;32,65
04/07/2022;33,03
01/07/2022;33,04
30/06/2022;33,14
29/06/2022;33,1
28/06/2022;33,39
27/06/2022;32,98
24/06/2022;32,39
23/06/2022;32,5
22/06/2022;32,87
21/06/2022;33,28
20/06/2022;34,44
17/06/2022;33,68
15/06/2022;34,09
14/06/2022;33,65
13/06/2022;33,73
10/06/2022;34,53
09/06/2022;35,33
08/06/2022;35,2
07/06/2022;35,51
06/06/2022;35,91
03/06/2022;36,2
02/06/2022;36,71
01/06/2022;36,47
31/05/2022;36,67
31/05/2022;36,67
30/05/2022;35,87
27/05/2022;37,02
26/05/2022;37,61
25/05/2022;37,18
24/05/2022;37,56
23/05/2022;38,22
20/05/2022;36,81
19/05/2022;35,68
18/05/2022;36,2
17/05/2022;36,31
16/05/2022;35,46
13/05/2022;35,09
12/05/2022;34,95
11/05/2022;34,16
10/05/2022;33,58
09/05/2022;33,86
06/05/2022;33,93
05/05/2022;33,47
04/05/2022;34,09
03/05/2022;33,62
02/05/2022;32,84
29/04/2022;33,77
28/04/2022;33,92
27/04/2022;34,15
26/04/2022;33,88
25/04/2022;34,45
22/04/2022;34,43
20/04/2022;34,99
19/04/2022;35,49
18/04/2022;36,11
14/04/2022;35,25
13/04/2022;35,21
12/04/2022;35,09
11/04/2022;35,03
08/04/2022;34,69
07/04/2022;34,09
06/04/2022;33,48
05/04/2022;33,6
04/04/2022;34,25
01/04/2022;34,73
31/03/2022;34,95
30/03/2022;34,77
29/03/2022;35,02
28/03/2022;35,01
25/03/2022;35,38
24/03/2022;35,35
23/03/2022;34,93
22/03/2022;35,07
21/03/2022;34,16
18/03/2022;33,7
17/03/2022;33,68
16/03/2022;33,12
15/03/2022;33,11
14/03/2022;33,87
11/03/2022;33,78
11/03/2022;33,78
11/03/2022;33,78
11/03/2022;33,78
10/03/2022;33,94
09/03/2022;34,28
08/03/2022;32,67
07/03/2022;32,91
04/03/2022;33,85
03/03/2022;34,89
02/03/2022;35,43
25/02/2022;35,01
24/02/2022;34,58
23/02/2022;35,9
22/02/2022;35,83
21/02/2022;35,5
18/02/2022;35,98
17/02/2022;35,42
16/02/2022;35,4
15/02/2022;35,31
14/02/2022;33,44
11/02/2022;33,27
10/02/2022;32,35
09/02/2022;32,06
08/02/2022;32,09
07/02/2022;31,95
04/02/2022;32,23
03/02/2022;32,28
02/02/2022;32,07
01/02/2022;32,55
31/01/2022;32,59
28/01/2022;32,37
27/01/2022;32,38
26/01/2022;31,96
25/01/2022;31,96
24/01/2022;31,3
21/01/2022;31,17
20/01/2022;31,29
19/01/2022;31,04
18/01/2022;30,69
17/01/2022;30,34
14/01/2022;30,36
13/01/2022;29,61
12/01/2022;29,1
11/01/2022;28,83
10/01/2022;28,81
07/01/2022;28,62
06/01/2022;28,63
05/01/2022;28,57
04/01/2022;28,88
03/01/2022;29,11
30/12/2021;28,92
29/12/2021;29,06
28/12/2021;29,11
27/12/2021;29,3
23/12/2021;29,26
22/12/2021;29,28
21/12/2021;29,81
20/12/2021;29,54
17/12/2021;30,45
16/12/2021;31,44
15/12/2021;31,37
14/12/2021;32,3
13/12/2021;32,54
10/12/2021;32,44
09/12/2021;32,14
08/12/2021;32,71
07/12/2021;32,81
06/12/2021;33,26
03/12/2021;32,28
02/12/2021;32,14
01/12/2021;31,99
30/11/2021;31,21
29/11/2021;31,15
26/11/2021;30,86
25/11/2021;31,42
24/11/2021;29,88
23/11/2021;29,09
22/11/2021;29,1
19/11/2021;29,05
18/11/2021;29,08
17/11/2021;29,57
16/11/2021;29,92
12/11/2021;30,21
11/11/2021;30,5
10/11/2021;30,63
09/11/2021;29,88
08/11/2021;29,37
05/11/2021;29,24
04/11/2021;28,81
03/11/2021;29,44
01/11/2021;29,24
29/10/2021;28,67
28/10/2021;28,97
27/10/2021;29,47
26/10/2021;29,25
25/10/2021;29,47
22/10/2021;28,87
21/10/2021;30,03
20/10/2021;31,1
19/10/2021;31,06
18/10/2021;31,93
15/10/2021;31,4
14/10/2021;30,78
13/10/2021;30,73
11/10/2021;30,82
08/10/2021;31,01
07/10/2021;30,48
06/10/2021;30,32
05/10/2021;30,22
04/10/2021;29,12
01/10/2021;29,38
30/09/2021;29,14
29/09/2021;29,46
28/09/2021;29,57
27/09/2021;29,82
24/09/2021;29,3
23/09/2021;29,56
22/09/2021;29,41
21/09/2021;28,53
20/09/2021;28,06
17/09/2021;29,13
16/09/2021;29,19
15/09/2021;29,07
14/09/2021;29,37
13/09/2021;29,7
10/09/2021;29,43
09/09/2021;28,57
